JODI,,ADAM,,ELISA,,GREG,,MITCH,,RAMAN,,LANCE,,STEVE,,JACKIE,,LEAH
Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
Drew Brees,20,Patrick Mahomes,10,Jameis Winston,2,Deshaun Watson,26,Tom Brady,22,Lamar Jackson,1,Dak Prescott,5,Kirk Cousins,4,Russell Wilson,19,Matt Ryan,5
Dalvin Cook,3,Todd Gurley,70,Ezekiel Elliott,55,David Johnson,14,Leonard Fournette,33,Lamar Miller,26,Gus Edwards,11,Joe Mixon,25,Melvin Gordon,11,Saquon Barkley,59
Christian McCaffrey,32,Phillip Lindsay,5,Alvin Kamara,2,Tarik Cohen,2,Tevin Coleman,3,Doug Martin,1,Jamaal Williams,1,Mark Ingram,5,Peyton Barber,5,Dion Lewis,5
Nick Chubb,26,Julio Jones,10,Robert Woods,11,Stefon Diggs,24,Marlon Mack,5,Tyler Lockett,12,Theo Riddick,3,Doug Baldwin,26,Brandin Cooks,25,Jarvis Landry,20
Alshon Jeffrey,2,Antonio Brown,19,Mike Evans,28,Michael Thomas,3,Kelvin Benjamin,5,Davante Adams,18,JuJu Smith-Schuster,2,Adam Thielen,4,TY Hilton,28,Allen Robinson,15
Amari Cooper,18,Keenan Allen,3,AJ Green,33,Tyreek Hill,30,Steven Ridley,7,Devin Funchess,11,Adam Humphries,1,DeAndre Hopkins,60,Julian Edelman,18,Mohamed Sanu,3
Eric Ebron,8,George Kittle,3,Rob Gronkowski,42,Jared Cook,3,Jimmy Graham,20,Travis Kelce,29,Kyle Rudolph,5,Trey Burton,2,Zach Ertz,4,Vance McDonald,1
Vikings,6,Redskins,1,Texans,10,Ravens,4,Bears,2,Falcons,1,Chiefs,3,Wil Lutz,8,Chargers,20,Colts,1
Mason Crosby,2,Matt Prater,1,Adam Vinatieri,1,Greg Zuerlein,15,Chris Boswell,13,Harrison Butker,5,Justin Tucker,8,Sony Michel,10,Stephen Gostkowski,5,Ryan Succop,2
Jordan Howard,13,Ben Roethlisberger,6,Giovani Bernard,1,Le'Veon Bell,8,Sammy Watkins,2,Kareem Hunt,50,Odell Beckham Jr.,7,Matt Breida,3,Marvin Jones,11,Demaryius Thomas,33
Chris Carson,16,Kenyan Drake,27,D'Onta Foreman,1,Josh Gordon,17,Larry Fitzgerald,25,LeSean McCoy,28,Golden Tate,20,Steelers,1,Marshawn Lynch,13,Alex Collins,4
Philip Rivers,4,James White,1,Christian Kirk,1,Derrius Guice,1,Carson Wentz,13,Cam Newton,8,Aaron Rodgers,61,Austin Ekeler,1,Isaiah Crowell,11,Andrew Luck,7
James Conner,3,Kenny Golladay,1,Javorius Allen,1,Josh Reynolds,6,Carlos Hyde,10,Michael Crabtree,5,Aaron Jones,5,Tyler Boyd,2,Jared Goff,2,Corey Davis,5
Cameron Brate,2,Josh Adams,1,Taylor Gabriel,1,Mike Williams,1,Rams,15,Jordan Reed,2,Mitchell Trubisky,3,Graham Gano,1,Jordy Nelson,5,Robbie Gould,1
Jaylen Samuels,2,DJ Moore,5,Ryan Fitzpatrick,25,Emmanuel Sanders,1,Austin Hooper,5,DeSean Jackson,12,Seahawks,6,Broncos,2,Jaguars,9,Titans,1
DaeSean Hamilton,7,Darrel Williams,1,Keke Coutee,1,Greg Olsen,1,Baker Mayfield,5,Cooper Kupp,1,Adrian Peterson,2,Courtland Sutton,11,David Njoku,7,Josh Doctson,1
Derrick Henry,10,John Kelly,1,Evan Engram,1,Jimmy Garoppolo,1,Kerryon Johnson,15,Nick Foles,1,Chris Godwin,1,Spencer Ware,25,Jake Elliott,2,John Brown,1
