ADAM,,JODI,,RAMAN,,GREG,,ELISA,,LANCE,,STEVE,,JACKIE,,MITCH,,LEAH
Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$,Player,$
Patrick Mahomes,13,Dalvin Cook,6,Davante Adams,24,Saquon Barkley,3,Alvin Kamara,5,Kyler Murray,7,Adam Thielen,7,Derrick Henry,43,Lamar Jackson,3,Chris Godwin,19
George Kittle,6,Christian McCaffrey,43,Travis Kelce,39,Josh Allen,8,A.J. Brown,14,Aaron Jones,8,Jonathan Taylor,52,Terry McLaurin,14,Cooper Kupp,23,Kareem Hunt,14
Antonio Gibson,32,Tee Higgins,2,Stefon Diggs,18,Darren Waller,8,DK Metcalf,17,Justin Herbert,2,Justin Jefferson,30,James Robinson,2,CeeDee Lamb,10,Diontae Johnson,10
Clyde Edwards-Helaire,41,Dak Prescott,18,Ronald Jones II,1,Ezekiel Elliott,61,Russell Wilson,21,Nick Chubb,54,Keenan Allen,28,DeAndre Hopkins,47,Mike Davis,25,Aaron Rodgers,27
Mike Evans,30,Robert Woods,34,Austin Ekeler,55,Miles Sanders,21,Mark Andrews,16,Calvin Ridley,40,Tom Brady,10,Tyreek Hill,52,DOnta Foreman,1,Joe Mixon,42
Rashaad Penny,1,Kyle Pitts,21,Hunter Renfrow,1,DJ Moore,10,Tyler Lockett,18,Amari Cooper,26,Gus Edwards,12,Matthew Stafford,12,Darrell Henderson Jr.,12,T.J. Hockenson,19
Raheem Mostert,1,Josh Jacobs,20,Jalen Hurts,2,Tyler Conklin,3,Najee Harris,51,David Montgomery,27,Javonte Williams,16,Rams D/ST,5,Buccaneers D/ST,5,Damien Harris,11
Michael Carter,5,Jerry Jeudy,9,Ryan Tannehill,1,JaMarr Chase,7,Kenyan Drake,7,Rob Gronkowski,6,DAndre Swift,33,Sony Michel,10,Chase Edmonds,12,Chase Claypool,11
Michael Pittman Jr.,1,Elijah Mitchell,11,James Conner,5,Chiefs D/ST,2,Mark Ingram II,16,Saints D/ST,4,Colts D/ST,4,Noah Fant,5,Myles Gaskin,8,Leonard Fournette,4
Mike Williams,8,Courtland Sutton,17,Greg Joseph,1,Matt Gay,1,Kenny Golladay,1,Greg Zuerlein,6,Cordarrelle Patterson,3,Marquez Callaway,1,Dallas Goedert,1,Laviska Shenault Jr.,4
Amon-Ra St. Brown,2,Odell Beckham Jr.,1,Rhamondre Stevenson,8,Brandin Cooks,6,Ravens D/ST,4,Marquise Brown,7,Christian Kirk,9,Daniel Carlson,2,Robby Anderson,1,Mike Gesicki,5
Bills D/ST,2,Packers D/ST,1,Patriots D/ST,1,Kadarius Toney,1,Tyler Boyd,1,AJ Dillon,5,Jared Cook,2,J.D. McKissic,1,Tyler Higbee,10,Antonio Brown,5
Chris Boswell,1,Mason Crosby,1,Pat Freiermuth,2,Van Jefferson,6,Michael Gallup,4,Jaylen Waddle,7,Matt Prater,4,Jack Doyle,1,Joe Burrow,8,Matt Ryan,10
Dalton Schultz,1,Alexander Mattison,1,Jarvis Landry,1,Tony Pollard,1,Trevor Lawrence,18,Dawson Knox,9,Marvin Jones Jr.,2,Browns D/ST,4,Justin Tucker,5,Eagles D/ST,5
Jamaal Williams,7,Melvin Gordon III,4,Kendrick Bourne,1,Dontrell Hilliard,1,Brian Johnson,1,Brandon Aiyuk,7,Jakobi Meyers,2,Tua Tagovailoa,4,DeVonta Smith,9,Nick Folk,5
Broncos D/ST,1,Zach Ertz,1,49ers D/ST,1,Cardinals D/ST,3,Devontae Booker,16,Nyheim Hines,1,Darrel Williams,12,Dan Arnold,3,Devin Singletary,9,Bengals D/ST,1
Cam Akers,1,Dolphins D/ST,2,Isaiah McKenzie,1,Deebo Samuel,16,William Fuller V,9,Cowboys D/ST,1,Derek Carr,3,Tevin Coleman,1,Jeff Wilson Jr.,1,Devonta Freeman,5
Darnell Mooney,1,Rashod Bateman,1,,,,,Emmanuel Sanders,1,Elijah Moore,7,Vikings D/ST,11,,,,,,
J.K. Dobbins,1,Chris Carson,2,,,,,Carson Wentz,8,,,James White,6,,,,,,
